lineType,enemyKey,enemyPosX,enemyPosY,health,pattNormalSingle,pattHardSingle,pattLunarSingle,pattNormal,pattHard,pattLunar
,,,,,,,,,,
encounter,enc_darkGhost,,,,,,,,,
enemy,en_ghWiz,200,0,24000,mbp_wiz1,mbp_wiz0,mbp_wiz0,mbp_wiz1,mbp_wiz0,mbp_wiz0
enemy,en_ghSps,-200,0,24000,mbp_sps1,mbp_sps0,mbp_sps0,mbp_sps1,mbp_sps0,mbp_sps0
,,,,,,,,,,
encounter,enc_lightGhost,,,,,,,,,
enemy,en_ghDef,200,0,21000,mbp_def1,mbp_def0,mbp_def0,mbp_def1,mbp_def0,mbp_def0
enemy,en_ghDnc,-200,0,21000,mbp_dnc1,mbp_dnc0,mbp_dnc0,mbp_dnc1,mbp_dnc0,mbp_dnc0
,,,,,,,,,,
encounter,enc_waterGhost,,,,,,,,,
enemy,en_ghDru,200,0,21000,mbp_dru1,mbp_dru0,mbp_dru0,mbp_dru1,mbp_dru0,mbp_dru0
enemy,en_ghAnc,-200,0,21000,mbp_anc1,mbp_anc0,mbp_anc0,mbp_anc1,mbp_anc0,mbp_anc0
,,,,,,,,,,
encounter,enc_windGhost,,,,,,,,,
enemy,en_ghSni,200,0,21000,mbp_sni1,mbp_sni0,mbp_sni0,mbp_sni1,mbp_sni0,mbp_sni0
enemy,en_ghAsn,-200,0,21000,mbp_asn1,mbp_asn0,mbp_asn0,mbp_asn1,mbp_asn0,mbp_asn0
,,,,,,,,,,
encounter,enc_fireGhost,,,,,,,,,
enemy,en_ghHbd,200,0,21000,mbp_hbd1,mbp_hbd0,mbp_hbd0,mbp_hbd1,mbp_hbd0,mbp_hbd0
enemy,en_ghBrs,-200,0,21000,mbp_brs1,mbp_brs0,mbp_brs0,mbp_brs1,mbp_brs0,mbp_brs0
