lineType,key
,
hallway,hw_outskirts
battle,en_mouse_cadet
loot,
battle,en_wolf_blackear;en_bird_sophomore
loot,
battle,en_dragon_granite;en_frog_tinkerer
,
hallway,hw_nest
shop,
battle,enc_bird_fight1_0;enc_bird_fight1_1
battle,en_bird_student
battle,enc_bird_fight2_0;enc_bird_fight2_1
loot,
battle,en_bird_whispering
battle,en_bird_archon
loot,
bossbattle,en_bird_valedictorian
,
hallway,hw_arsenal
shop,
battle,enc_wolf_fight1_0;enc_wolf_fight1_1
battle,en_wolf_greyeye
battle,enc_wolf_fight2_0;enc_wolf_fight2_1
loot,
battle,en_wolf_bluepaw
battle,enc_wolf_fight3_0
battle,en_wolf_snowfur
loot,
bossbattle,en_wolf_steeltooth
,
hallway,hw_lighthouse
shop,
battle,enc_dragon_fight1_0;enc_dragon_fight1_1
battle,en_dragon_silver
battle,enc_dragon_fight2_0;enc_dragon_fight2_1
loot,
battle,en_dragon_emerald
battle,enc_sunnie_radiant_dragon;enc_dreadwyrm_heir
battle,en_dragon_ruby
loot,
bossbattle,en_dragon_mythril
,
hallway,hw_streets
shop,
battle,enc_mouse_fight1_0;enc_mouse_fight1_1
battle,en_mouse_oakspear
battle,enc_mouse_fight2_0;enc_mouse_fight2_1
loot,
battle,en_mouse_axewielder
battle,en_mouse_rosemage
loot,
bossbattle,en_mouse_paladin
,
hallway,hw_lakeside
shop,
battle,enc_frog_fight1_0;enc_frog_fight1_1
battle,en_frog_songstress
battle,enc_frog_fight2_0;enc_frog_fight2_1
loot,
battle,en_frog_seamstress
battle,enc_puddles_poison_frog
battle,en_frog_painter
loot,
bossbattle,en_frog_idol
,
hallway,hw_keep
shop,
battle,en_queens_spear
battle,enc_darkGhost
loot,
battle,en_queens_staff
battle,enc_waterGhost
loot,
battle,en_queens_harp
battle,enc_windGhost
loot,
battle,enc_lightGhost
battle,en_queens_axe
battle,enc_fireGhost
loot,
,
hallway,hw_pinnacle
finalbattle,en_rabbit_queen
ending,
