,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
newPattern,mbp_shadowBarrier,,,,,,,,,,,,,,,
## total time: 2 seconds,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,spawnDelay;2000,trgBinary;all,element;red,x;bfCenterX,y;bfCenterY,width;bfMaxY,height;bfMaxY,,,,,,,,,
pattAdd,bp_fieldlimit_rectangle,,,,,,,,,,,,,,,
anim,2,1750,2500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
newPattern,mbp_darkWave,,,,,,,,,,,,,,,
## total time: 6 seconds,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
setVar,dir,randomSign,,,,,,,,,,,,,,
setVar,dist,(bfCenterX/2)*dir,,,,,,,,,,,,,,
move,bfCenterX+dist,bfMaxY/6,1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,1000,,,,,,,,,,,,,,,
facePoint,bfCenterX,,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;4000,fanAngle;10,trgBinary;all,x;enemyX,y;enemyY,warnMsg;0,,,,,,,,,
pattAdd,bp_cone_spreads,,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;4000,eraseDelay;5000,width;100,x;bfCenterX,y;bfCenterY,rot;0,displayNumber;0,,,,,,,,
pattAdd,bp_cardinal_r,,,,,,,,,,,,,,,
pattVars,rot;45,,,,,,,,,,,,,,,
pattAdd,bp_cardinal_r,,,,,,,,,,,,,,,
anim,0,4000,5000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
newPattern,mbp_Jab,,,,,,,,,,,,,,,
## total time: 6 seconds,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
setVar,dir,randomSign,,,,,,,,,,,,,,
setVar,dist,(bfCenterX/2)*dir,,,,,,,,,,,,,,
move,bfCenterX+dist,(bfMaxY/6)*5,1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,1000,,,,,,,,,,,,,,,
facePoint,bfCenterX,,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;4000,fanAngle;10,trgBinary;all,x;enemyX,y;enemyY,warnMsg;0,,,,,,,,,
pattAdd,bp_cone_spreads,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
setVar,ang,pointFrom(enemyX>enemyY>bfCenterX>bfCenterY),,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,spawnDelay;4000,ringNum;1,x;enemyX,y;enemyY,angle;ang,fanAngle;135,num;9,,,,,,,,,
pattAdd,bp_fire2_fan,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,4500,,,,,,,,,,,,,,,
anim,0,500,1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
newPattern,mbp_fullMoon,,,,,,,,,,,,,,,
## total time: 6 seconds,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
move,bfCenterX,bfCenterY,1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,1000,,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;3000,eraseDelay;5000,trgBinary;all,scale;2.5,numPoints;1,posX_0;enemyX,posY_0;enemyY,,,,,,,,
pattAdd,bp_fire_aoe,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
orderBinRandom,1,3,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;3000,radius;500,trgBinary;orderBin0,warnMsg;0,,,,,,,,,,,
pattAdd,bp_circle_spreads,,,,,,,,,,,,,,,
pattVars,element;red,radius;150,trgBinary;orderBin1,,,,,,,,,,,,,
pattAdd,bp_colormatch,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,3000,,,,,,,,,,,,,,,
anim,1,1000,2000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
newPattern,mbp_flameHook,,,,,,,,,,,,,,,
## total time: 6 seconds,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
setVar,leftX,bfMaxX/6,,,,,,,,,,,,,,
setVar,rightX,(bfMaxX/6)*5,,,,,,,,,,,,,,
setVar,distL,pointDist(enemyX>enemyY>leftX>bfCenterY),,,,,,,,,,,,,,
setVar,distR,pointDist(enemyX>enemyY>rightX>bfCenterY),,,,,,,,,,,,,,
setVar,dir,randomSign,,,,,,,,,,,,,,
setVar,dist,(bfMaxY/4)*dir,,,,,,,,,,,,,,
setVar,travel,200,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
condVarCheck,distL,<,distR,,,,,,,,,,,,,
move,leftX,bfCenterY+dist,1000,,,,,,,,,,,,,
setVar,travDir,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
condVarCheck,distR,<,distL,,,,,,,,,,,,,
move,rightX,bfCenterY+dist,1000,,,,,,,,,,,,,
setVar,travDir,-1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,1000,,,,,,,,,,,,,,,
facePoint,bfCenterX,,,,,,,,,,,,,,,
setVar,ang,pointFrom(enemyX>enemyY>bfCenterX>enemyY),,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;3000,eraseDelay;3500,x;enemyX,y;enemyY,angle;ang,width;bfCenterY/2,,,,,,,,,
pattAdd,bp_ray_single,,,,,,,,,,,,,,,
anim,1,3000,4000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;3000,trgBinary;all,x;enemyX,y;enemyY,horizontal;true,warnMsg;0,lifespan;400,kbAmount;bfMaxY,,,,,,,
pattAdd,bp_knockback_line,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timeRepeatTimes,4000,100,10,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;0,eraseDelay;500,scale;1,numPoints;1,posX_0;enemyX+(travel*travDir),posY_0;enemyY,,,,,,,,,
pattAdd,bp_fire_aoe,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
setVar,travel,travel+200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
newPattern,mbp_spinningLeap,,,,,,,,,,,,,,,
## total time: 17 seconds,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
setVar,dir,randomSign,,,,,,,,,,,,,,
setVar,dist,bfCenterX/3,,,,,,,,,,,,,,
setVar,offX,dir*dist,,,,,,,,,,,,,,
move,bfCenterX+offX,bfCenterY,1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timeRepeatTimes,9000,2000,4,,,,,,,,,,,,,
facePoint,bfCenterX,,,,,,,,,,,,,,,
