####################################################################
####################################################################
newPattern,mbp_mouse_cadet_0m
time,0
anim,0,2000,3000
pattVars,warningDelay;0,spawnDelay;2000,radius;320,numPoints;1,posX_0;enemyX,posY_0;enemyY
pattAdd,bp_circle_position


condVarCheck,enemyX,>=,bfCenterX
orderBinRandom,2,2
pattVars,warningDelay;0,spawnDelay;4000,radius;500,warnMsg;2,orderBin_0;orderBin0,orderBin_1;orderBin1
pattAdd,bp_thorns_bin

time,2000
setVar,shotA,random(360)
setVar,shotD,diffSwitch(1>1>2)
setVar,shotN,diffSwitch(20>40>40)
pattVars,warningDelay;0,spawnDelay;0,showWarning;0,ringNum;shotD,spd_1;3,spd_0;5,num;shotN,angle;shotA,type;1
pattAddPos,bp_fire2_blast,enemyX,enemyY


time,3000
pattVarReset
setVar,targetP,randomTargetId(all)
setVar,px,playerXPos(targetP)
setVar,py,playerYPos(targetP)
setVar,ringScale,250
setVar,ringBase,36



setVar,ringIdx,0
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,warningDelay;0,spawnDelay;0,showWarning;false,ringNum;1,spd_0;6,num;1,angle;shotAngle1,type;0
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y
setVar,ringIdx,ringIdx+1
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,angle;shotAngle1
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y
setVar,ringIdx,ringIdx+1
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,angle;shotAngle1
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y
setVar,ringIdx,ringIdx+1
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,angle;shotAngle1
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y
setVar,ringIdx,ringIdx+1
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,angle;shotAngle1
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y
setVar,ringIdx,ringIdx+1
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,angle;shotAngle1
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y
setVar,ringIdx,ringIdx+1
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,angle;shotAngle1
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y
setVar,ringIdx,ringIdx+1
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,angle;shotAngle1
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y
setVar,ringIdx,ringIdx+1
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,angle;shotAngle1
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y
setVar,ringIdx,ringIdx+1
setVar,shotPos1X,enemyX+ringScale*cos(ringIdx*ringBase)
setVar,shotPos1Y,enemyY+ringScale*sin(ringIdx*ringBase)
setVar,shotAngle1,pointFrom(shotPos1X>shotPos1Y>px>py)
pattVars,angle;shotAngle1
pattAddPos,bp_fire2_blast,shotPos1X,shotPos1Y

time,5000
## move,randomRange(bfMinX+100>bfMaxX-100),enemyY,500,,,
move,enemyX,randomRange(bfMinY+200>bfMaxY-200),800,,,
