####################################################################
####################################################################
newPattern,mbp_bird_archon_0m
time,0
anim,0,2000,9000
pattVars,warningDelay;0,spawnDelay;2000,radius;200,numPoints;1,posX_0;enemyX,posY_0;enemyY
pattAdd,bp_circle_position
setVar,shotNum,diffSwitch(6>18>22)

timeRepeatTimes,1000,1000,6
pattVarReset
pattVars,warningDelay;0,spawnDelay;0,showWarning;false,ringNum;1,spd_0;4,num;22,angle;random(360),type;1,offset;0,
pattAddPos,bp_fire2_blast,enemyX,enemyY

time,2000
setVar,randMax,80
setVar,spaceX,bfWidth/7
setVar,baseScale,1.14
setVar,spaceY,bfHeight/4
setVar,baseTime,250
setVar,signX,randomSign
setVar,signY,randomSign
setVar,q,irandom(3)

setVar,px0,bfCenterX-signX*(spaceX/2+3*spaceX)
setVar,px1,bfCenterX-signX*(spaceX/2+2*spaceX)
setVar,px2,bfCenterX-signX*(spaceX/2+1*spaceX)
setVar,px3,bfCenterX-signX*(spaceX/2+0*spaceX)
setVar,px4,bfCenterX+signX*(spaceX/2+0*spaceX)
setVar,px5,bfCenterX+signX*(spaceX/2+1*spaceX)
setVar,px6,bfCenterX+signX*(spaceX/2+2*spaceX)
setVar,px7,bfCenterX+signX*(spaceX/2+3*spaceX)
setVar,px8,bfCenterX-signX*(3*spaceX)
setVar,px9,bfCenterX-signX*(2*spaceX)
setVar,px10,bfCenterX-signX*(1*spaceX)
setVar,px11,bfCenterX
setVar,px12,bfCenterX+signX*(1*spaceX)
setVar,px13,bfCenterX+signX*(2*spaceX)
setVar,px14,bfCenterX+signX*(3*spaceX)
setVar,px15,bfCenterX-signX*(spaceX/2+3*spaceX)
setVar,px16,bfCenterX-signX*(spaceX/2+2*spaceX)
setVar,px17,bfCenterX-signX*(spaceX/2+1*spaceX)
setVar,px18,bfCenterX-signX*(spaceX/2+0*spaceX)
setVar,px19,bfCenterX+signX*(spaceX/2+0*spaceX)
setVar,px20,bfCenterX+signX*(spaceX/2+1*spaceX)
setVar,px21,bfCenterX+signX*(spaceX/2+2*spaceX)
setVar,px22,bfCenterX+signX*(spaceX/2+3*spaceX)
setVar,px23,bfCenterX-signX*(3*spaceX)
setVar,px24,bfCenterX-signX*(2*spaceX)
setVar,px25,bfCenterX-signX*(1*spaceX)
setVar,px26,bfCenterX
setVar,px27,bfCenterX+signX*(1*spaceX)
setVar,px28,bfCenterX+signX*(2*spaceX)
setVar,px29,bfCenterX+signX*(3*spaceX)
setVar,px30,bfCenterX-signX*(spaceX/2+3*spaceX)
setVar,px31,bfCenterX-signX*(spaceX/2+2*spaceX)
setVar,px32,bfCenterX-signX*(spaceX/2+1*spaceX)
setVar,px33,bfCenterX-signX*(spaceX/2+0*spaceX)
setVar,px34,bfCenterX+signX*(spaceX/2+0*spaceX)
setVar,px35,bfCenterX+signX*(spaceX/2+1*spaceX)
setVar,px36,bfCenterX+signX*(spaceX/2+2*spaceX)
setVar,px37,bfCenterX+signX*(spaceX/2+3*spaceX)


orderBinFourGroups
pattVarReset
pattVars,spawnDelay;0,eraseDelay;9800,type;0,trgBinary;orderBin0,offX;bfHeight/2,offY;0;
pattAdd,bp_teleport_bin
pattVars,trgBinary;orderBin1,offX;-bfHeight/2,offY;0;
pattAdd,bp_teleport_bin
pattVars,trgBinary;orderBin2,offX;0,offY;bfHeight/2;
pattAdd,bp_teleport_bin
pattVars,trgBinary;orderBin3,offX;0,offY;-bfHeight/2;
pattAdd,bp_teleport_bin

pattVarReset
pattVars,warningDelay;0,spawnDelay;10500,radius;260,trgBinary;all,warnMsg;1,
pattAdd,bp_circle_spreads


time,2150
condVarCheck,q,==,0
setVar,px8,9999
setVar,px10,9999
setVar,px13,9999
setVar,px26,9999
setVar,px28,9999

time,2300
condVarCheck,q,==,1
setVar,px9,9999
setVar,px18,9999
setVar,px27,9999
setVar,px21,9999
setVar,px24,9999

time,2450
condVarCheck,q,==,2
setVar,px16,9999
setVar,px18,9999
setVar,px21,9999
setVar,px26,9999
setVar,px27,9999

time,2600
condVarCheck,q,==,3
setVar,px9,9999
setVar,px16,9999
setVar,px23,9999
setVar,px19,9999
setVar,px12,9999

time,5000
setVar,py,bfCenterY-signY*(spaceY*2)
pattVars,spawnDelay;7000,eraseDelay;8300,scale;baseScale,type;0,numPoints;8,posX_0;px0+random(randMax)-randMax/2,posY_0;py+random(randMax)-randMax/2,posX_1;px1+random(randMax)-randMax/2,posY_1;py+random(randMax)-randMax/2,posX_2;px2+random(randMax)-randMax/2,posY_2;py+random(randMax)-randMax/2,posX_3;px3+random(randMax)-randMax/2,posY_3;py+random(randMax)-randMax/2,posX_4;px4+random(randMax)-randMax/2,posY_4;py+random(randMax)-randMax/2,posX_5;px5+random(randMax)-randMax/2,posY_5;py+random(randMax)-randMax/2,posX_6;px6+random(randMax)-randMax/2,posY_6;py+random(randMax)-randMax/2,posX_7;px7+random(randMax)-randMax/2,posY_7;py+random(randMax)-randMax/2,
pattAdd,bp_delayed_target_circle

time,5250
