####################################################################
####################################################################
newPattern,mbp_queens_harp_0m
time,0
orderBinRandom,1,1,1,1
setVar,targetId,randomTargetId(orderBin0)
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,targetAngle,pointFrom(enemyX>enemyY>targetX>targetY)
setVar,spaceY,bfHeight/8
setVar,edge,400
setVar,shotX,bfMaxX+edge
setVar,shotX1,bfMaxX+edge
setVar,shotX2,bfMaxX+edge
setVar,shotX3,bfMaxX+edge

pattVars,spawnDelay;0,eraseDelay;12000,timeBetween;12000,orderBin_0;orderBin0
pattAdd,bp_showorder


timeRepeatTimes,0,2125,4
##spd4のとき秒間２４０移動する
pattVarReset
pattVars,warningDelay;0,spawnDelay;2000,scale;0.25,spd;6,angle;-180,
pattAddPos,bp_water_moving_ball,bfMaxX+edge,bfMinY
pattAddPos,bp_water_moving_ball,bfMaxX+edge,bfMinY+1*spaceY
pattAddPos,bp_water_moving_ball,bfMaxX+edge,bfMinY+2*spaceY
pattAddPos,bp_water_moving_ball,bfMaxX+edge,bfMinY+3*spaceY
pattAddPos,bp_water_moving_ball,bfMaxX+edge,bfMinY+4*spaceY
pattAddPos,bp_water_moving_ball,bfMaxX+edge,bfMinY+5*spaceY
pattAddPos,bp_water_moving_ball,bfMaxX+edge,bfMinY+6*spaceY
pattAddPos,bp_water_moving_ball,bfMaxX+edge,bfMinY+7*spaceY
pattAddPos,bp_water_moving_ball,bfMaxX+edge,bfMinY+8*spaceY
pattVars,warningDelay;0,spawnDelay;2000,showWarning;true,angle;-180,lineAngle;90,lineLength;bfHeight+spaceY,num;9,spd;6,type;0
pattAddPos,bp_dark2_line,bfMaxX+edge,bfMinY


timeRepeatTimes,4000,2000,3
pattVarReset
setVar,shotX,shotX-2*360
setVar,shotY,bfMinY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX>shotY>targetX>targetY)
pattVars,warningDelay;0,spawnDelay;0,showWarning;false,ringNum;1,spd_0;9,num;1,angle;shotAngle,type;1
pattAddPos,bp_fire2_blast,shotX,shotY
setVar,shotY,bfMinY+1*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX>shotY>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX,shotY
setVar,shotY,bfMinY+2*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX>shotY>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX,shotY
setVar,shotY,bfMinY+3*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX>shotY>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX,shotY
setVar,shotY,bfMinY+4*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX>shotY>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX,shotY
setVar,shotY,bfMinY+5*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX>shotY>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX,shotY
setVar,shotY,bfMinY+6*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX>shotY>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX,shotY
setVar,shotY,bfMinY+7*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX>shotY>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX,shotY
setVar,shotY,bfMinY+8*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX>shotY>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX,shotY

timeRepeatTimes,6125,2000,3
pattVarReset
setVar,shotX1,shotX1-2*360
setVar,shotY1,bfMinY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX1>shotY1>targetX>targetY)
pattVars,warningDelay;0,spawnDelay;0,showWarning;false,ringNum;1,spd_0;9,num;1,angle;shotAngle,type;1
pattAddPos,bp_fire2_blast,shotX1,shotY1
setVar,shotY1,bfMinY+1*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX1>shotY1>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX1,shotY1
setVar,shotY1,bfMinY+2*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX1>shotY1>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX1,shotY1
setVar,shotY1,bfMinY+3*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX1>shotY1>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX1,shotY1
setVar,shotY1,bfMinY+4*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX1>shotY1>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX1,shotY1
setVar,shotY1,bfMinY+5*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX1>shotY1>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX1,shotY1
setVar,shotY1,bfMinY+6*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX1>shotY1>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX1,shotY1
setVar,shotY1,bfMinY+7*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX1>shotY1>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX1,shotY1
setVar,shotY1,bfMinY+8*spaceY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX1>shotY1>targetX>targetY)
pattVars,angle;shotAngle
pattAddPos,bp_fire2_blast,shotX1,shotY1

timeRepeatTimes,8250,2000,3
pattVarReset
setVar,shotX2,shotX2-2*360
setVar,shotY2,bfMinY
setVar,targetX,playerXPos(targetId)
setVar,targetY,playerYPos(targetId)
setVar,shotAngle,pointFrom(shotX2>shotY2>targetX>targetY)
