,,,,,,,,,,,,,
,,,,,,,,,,,,,
newPattern,mbp_latLife_n,,,,,,,,,,,,
## total time: 11 seconds,,,,,,,,,,,,,
time,0,,,,,,,,,,,,
setVar,dir,randomSign,,,,,,,,,,,
setVar,offY,(bfCenterY/3)*dir,,,,,,,,,,,
orderBinRandom,1,1,1,1,,,,,,,,,
move,bfCenterX,bfCenterY+offY,1000,,,,,,,,,,
,,,,,,,,,,,,,
time,3000,,,,,,,,,,,,
facePoint,bfCenterX,,,,,,,,,,,,
anim,2,2000,3000,,,,,,,,,,
,,,,,,,,,,,,,
setVar,targOne,randomTargetId(orderBin0),,,,,,,,,,,
setVar,xOne,playerXPos(targOne),,,,,,,,,,,
setVar,yOne,playerYPos(targOne),,,,,,,,,,,
,,,,,,,,,,,,,
setVar,targTwo,randomTargetId(orderBin1),,,,,,,,,,,
setVar,xTwo,playerXPos(targTwo),,,,,,,,,,,
setVar,yTwo,playerYPos(targTwo),,,,,,,,,,,
,,,,,,,,,,,,,
setVar,targThr,randomTargetId(orderBin2),,,,,,,,,,,
setVar,xThr,playerXPos(targThr),,,,,,,,,,,
setVar,yThr,playerYPos(targThr),,,,,,,,,,,
,,,,,,,,,,,,,
setVar,targFour,randomTargetId(orderBin3),,,,,,,,,,,
setVar,xFour,playerXPos(targFour),,,,,,,,,,,
setVar,yFour,playerYPos(targFour),,,,,,,,,,,
,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,
pattVars,spawnDelay;2000,eraseDelay;8000,scale;0.8,type;0,numPoints;4,posX_0;xOne,posY_0;yOne,posX_1;xTwo,posY_1;yTwo,posX_2;xThr,posY_2;yThr,posX_3;xFour,posY_3;yFour
pattAdd,bp_delayed_target_circle,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
newPattern,mbp_marchCommand_n,,,,,,,,,,,,
## total time: 11 seconds,,,,,,,,,,,,,
time,0,,,,,,,,,,,,
setVar,dir,randomSign,,,,,,,,,,,
setVar,offX,(bfCenterX/2)*dir,,,,,,,,,,,
move,bfCenterX+offX,bfCenterY,1000,,,,,,,,,,
time,1000,,,,,,,,,,,,
facePoint,bfCenterX,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;2000,eraseDelay;10000,x;bfMinX,y;bfMinY,rot;0,width;300,,,,,,
pattAdd,bp_cardinal_r,,,,,,,,,,,,
pattVars,x;bfMaxX,y;bfMaxY,,,,,,,,,,,
pattAdd,bp_cardinal_r,,,,,,,,,,,,
anim,1,2000,3000,,,,,,,,,,
,,,,,,,,,,,,,
time,4000,,,,,,,,,,,,
setVar,Xkb,randomSign*bfCenterX,,,,,,,,,,,
setVar,Ykb,randomSign*bfCenterY,,,,,,,,,,,
setVar,Xpos,bfCenterX+Xkb,,,,,,,,,,,
setVar,Ypos,bfCenterY+Ykb,,,,,,,,,,,
setVar,hzt,irandom(1),,,,,,,,,,,
setVar,kbAm,1200-(700*hzt),,,,,,,,,,,
anim,1,4000,6000,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,
