newPattern,mbp_nyxa_midnight_trader0_s,,
,,,
time,0,,
,,,
zoom,0.9,,
setExpMult,1,1,
,,,
,,,
,,,
time,0,,
pattAdd,mbp_nyxa_midnight_trader0_pt2_s,,
,,,
time,5000,,
pattAdd,mbp_nyxa_midnight_trader0_pt3_s,,
,,,
time,15000,,
pattAdd,mbp_nyxa_midnight_trader0_pt4_s,,
,,,
timeRepeating,25000,10000,
pattAdd,mbp_nyxa_midnight_trader0_pt5_s,,
,,,
##,timeRepeating,35000,10000
##,pattAdd,mbp_nyxa_midnight_trader0_pt6_s,
,,,
timeRepeating,10000,30000,
pattAdd,mbp_nyxa_midnight_trader0_pt7_s,,
,,,
timeRepeating,20000,30000,
pattAdd,mbp_nyxa_midnight_trader0_pt8_s,,
,,,
timeRepeating,30000,30000,
pattAdd,mbp_nyxa_midnight_trader0_pt9_s,,
,,,
,,,
,,,
,,,
,,,
newPattern,mbp_nyxa_midnight_trader0_s_lunar,,
,,,
time,0,,
,,,
zoom,0.9,,
setExpMult,1,1,
,,,
,,,
,,,
time,0,,
pattAdd,mbp_nyxa_midnight_trader0_pt2_s,,
,,,
time,5000,,
pattAdd,mbp_nyxa_midnight_trader0_pt3_s,,
,,,
timeRepeating,15000,10000,
pattAdd,mbp_nyxa_midnight_trader0_pt4_s,,
,,,
timeRepeating,10000,30000,
pattAdd,mbp_nyxa_midnight_trader0_pt7_s,,
,,,
timeRepeating,20000,30000,
pattAdd,mbp_nyxa_midnight_trader0_pt8_s,,
,,,
timeRepeating,30000,30000,
pattAdd,mbp_nyxa_midnight_trader0_pt9_s,,
